# Zenith RA (deg), Zenith Dec (deg), Time (Julian Date)
187.66618,38.56204,2460008.79167
265.67566,38.44832,2460009.00750
61.31133,38.36728,2460009.43917
295.23352,38.38318,2460010.08667
246.87947,38.48887,2460010.95000
276.45460,38.42420,2460012.02917
23.79326,38.31368,2460013.32417
209.25985,38.54832,2460014.83500
112.42023,38.47800,2460016.56167
93.63005,38.43674,2460018.50417
152.80611,38.54551,2460020.66250
289.99883,38.39464,2460023.03667
144.78747,38.53536,2460025.62667
77.62114,38.40121,2460028.43250
88.39580,38.42501,2460031.45417
177.17443,38.56091,2460034.69167
343.82673,38.31244,2460038.14500
228.37694,38.52193,2460041.81417
190.74756,38.55938,2460045.69917
231.15088,38.51697,2460049.80000
349.35836,38.30958,2460054.11667
185.50267,38.55986,2460058.64917
99.48270,38.44987,2460063.39750
91.47553,38.43229,2460068.36167
161.44197,38.55149,2460073.54167
309.37472,38.35582,2460078.93750
175.01430,38.55805,2460084.54917
118.58471,38.49025,2460090.37667
140.16328,38.52741,2460096.42000
239.77800,38.49793,2460102.67917
56.99960,38.36169,2460109.15417
312.44472,38.34808,2460115.84500
285.67289,38.39906,2460122.75167
336.73836,38.31562,2460129.87417
105.64047,38.46487,2460137.21250
312.74883,38.34507,2460144.76667
237.62052,38.49924,2460152.53667
240.39478,38.49378,2460160.52250
321.05102,38.33032,2460168.72417
119.50288,38.49455,2460177.14167
356.09954,38.30091,2460185.77500
310.59330,38.34470,2460194.62417
342.87922,38.30478,2460203.68917
92.99675,38.43819,2460212.97000
281.36362,38.40306,2460222.46667
187.35190,38.56174,2460232.17917
171.30681,38.56239,2460242.10750
194.57751,38.55933,2460015.79167
272.57522,38.43298,2460016.00750
68.20526,38.38118,2460016.43917
302.12701,38.36958,2460017.08667
253.78299,38.47445,2460017.95000
283.35190,38.40896,2460019.02917
30.68156,38.32052,2460020.32417
216.16958,38.54029,2460021.83500
119.32464,38.49201,2460023.56167
100.53063,38.45203,2460025.50417
159.71653,38.55193,2460027.66250
296.89333,38.38037,2460030.03667
151.69714,38.54375,2460032.62667
84.51830,38.41640,2460035.43250
95.29527,38.44037,2460038.45417
184.08598,38.56093,2460041.69167
350.71407,38.30872,2460045.14500
235.28400,38.50989,2460048.81417
197.65876,38.55581,2460052.69917
238.05738,38.50439,2460056.80000
356.24549,38.30719,2460061.11667
192.41411,38.55765,2460065.64917
106.38453,38.46489,2460070.39750
98.37558,38.44767,2460075.36167
168.35300,38.55566,2460080.54167
316.26577,38.34402,2460085.93750
181.92587,38.55865,2460091.54917
125.49032,38.50337,2460097.37667
147.07230,38.53677,2460103.42000
246.68300,38.48402,2460109.67917
63.89255,38.37486,2460116.15417
319.33540,38.33685,2460122.84500
292.56844,38.38396,2460129.75167
343.62622,38.30985,2460136.87417
112.54350,38.47957,2460144.21250
319.63941,38.33387,2460151.76667
244.52611,38.48562,2460159.53667
247.29980,38.47968,2460167.52250
327.94046,38.32083,2460175.72417
126.40869,38.50788,2460184.14167
2.98640,38.30039,2460192.77500
317.48420,38.33309,2460201.62417
349.76641,38.30065,2460210.68917
99.89712,38.45395,2460219.97000
288.26003,38.38774,2460229.46667
194.26374,38.55925,2460239.17917
178.21873,38.56431,2460249.10750
201.48852,38.55491,2460022.79167
279.47342,38.41766,2460023.00750
75.10048,38.39570,2460023.43917
309.01936,38.35692,2460024.08667
260.68513,38.45956,2460024.95000
290.24780,38.39420,2460026.02917
37.57067,38.32895,2460027.32417
223.07837,38.53063,2460028.83500
126.23044,38.50514,2460030.56167
107.43270,38.46712,2460032.50417
166.62755,38.55669,2460034.66250
303.78661,38.36688,2460037.03667
158.60746,38.55041,2460039.62667
91.41698,38.43178,2460042.43250
102.19623,38.45568,2460045.45417
190.99750,38.55916,2460048.69167
357.60126,38.30675,2460052.14500
242.18976,38.49671,2460055.81417
204.56964,38.55038,2460059.69917
244.96273,38.49083,2460063.80000
3.13257,38.30671,2460068.11667
199.32531,38.55353,2460072.64917
113.28769,38.47945,2460077.39750
105.27713,38.46271,2460082.36167
175.26448,38.55804,2460087.54167
323.15590,38.33356,2460092.93750
188.83745,38.55728,2460098.54917
132.39708,38.51552,2460104.37667
153.98218,38.54446,2460110.42000
253.58677,38.46929,2460116.67917
70.78688,38.38886,2460123.15417
326.22508,38.32688,2460129.84500
299.46257,38.36966,2460136.75167
350.51360,38.30577,2460143.87417
119.44795,38.49353,2460151.21250
326.52906,38.32397,2460158.76667
251.43029,38.47105,2460166.53667
254.20348,38.46493,2460174.52250
334.82898,38.31287,2460182.72417
133.31571,38.52004,2460191.14167
9.87330,38.30169,2460199.77500
324.37395,38.32284,2460208.62417
356.65337,38.29844,2460217.68917
106.79894,38.46949,2460226.97000
295.15492,38.37290,2460236.46667
201.17516,38.55486,2460246.17917
185.13071,38.56440,2460256.10750
208.39899,38.54860,2460029.79167
286.37005,38.40254,2460030.00750
81.99716,38.41081,2460030.43917
315.91044,38.34532,2460031.08667
267.58581,38.44417,2460031.95000
297.14229,38.37988,2460033.02917
44.46056,38.33886,2460034.32417
229.98626,38.51963,2460035.83500
133.13738,38.51716,2460037.56167
114.33616,38.48155,2460039.50417
173.53888,38.55952,2460041.66250
310.67856,38.35436,2460044.03667
165.51842,38.55541,2460046.62667
98.31704,38.44716,2460049.43250
109.09858,38.47052,2460052.45417
197.90871,38.55545,2460055.69167
4.48824,38.30665,2460059.14500
249.09433,38.48262,2460062.81417
211.47984,38.54326,2460066.69917
251.86667,38.47636,2460070.80000
10.01962,38.30799,2460075.11667
206.23598,38.54771,2460079.64917
120.19229,38.49328,2460084.39750
112.18009,38.47738,2460089.36167
182.17603,38.55851,2460094.54167
330.04505,38.32453,2460099.93750
195.74882,38.55418,2460105.54917
139.30504,38.52636,2460111.37667
160.89275,38.55060,2460117.42000
260.48904,38.45401,2460123.67917
77.68249,38.40357,2460130.15417
333.11393,38.31855,2460136.84500
306.35545,38.35612,2460143.75167
357.40071,38.30364,2460150.87417
126.35368,38.50673,2460158.21250
333.41778,38.31571,2460165.76667
258.33315,38.45592,2460173.53667
